disputeNumber,arbitrationCost,jurorCount,costPerJuror,appealCount,costPerAppeal
1147,0.025,1,0.025,0,0.025
1148,0.025,1,0.025,0,0.025
1149,0.025,1,0.025,0,0.025
115,0.144,3,0.048,0,0.144
1150,0.025,1,0.025,0,0.025
1151,0.175,11,0.0159,2,0.0583
1152,0.025,1,0.025,0,0.025
1153,0.025,1,0.025,0,0.025
1154,0.025,1,0.025,0,0.025
1155,0.075,3,0.025,0,0.075
1156,0.025,1,0.025,0,0.025
1157,0.025,1,0.025,0,0.025
1158,0.025,1,0.025,0,0.025
1159,0.0,1,0.0,0,0.0
116,0.144,3,0.048,0,0.144
1160,0.025,1,0.025,0,0.025
1161,0.075,3,0.025,0,0.075
1162,0.025,1,0.025,0,0.025
1163,0.025,1,0.025,0,0.025
1164,0.025,1,0.025,0,0.025
1165,0.025,1,0.025,0,0.025
1166,0.1,4,0.025,1,0.05
1167,0.025,1,0.025,0,0.025
1168,0.0,1,0.0,0,0.0
1169,0.025,1,0.025,0,0.025
117,0.144,3,0.048,0,0.144
1170,11.743,246,0.0477,5,1.9572
1171,0.025,1,0.025,0,0.025
1172,0.025,1,0.025,0,0.025
1173,0.1,4,0.025,1,0.05
1174,0.1,4,0.025,1,0.05
1175,0.075,4,0.0187,1,0.0375
1176,0.075,4,0.0187,1,0.0375
1177,0.075,3,0.025,0,0.075
1178,0.025,1,0.025,0,0.025
1179,0.075,3,0.025,0,0.075
118,0.144,3,0.048,0,0.144
1180,0.025,1,0.025,0,0.025
1181,0.025,1,0.025,0,0.025
1182,0.025,1,0.025,0,0.025
1183,0.025,1,0.025,0,0.025
1184,0.025,1,0.025,0,0.025
1185,0.025,1,0.025,0,0.025
1186,0.025,1,0.025,0,0.025
1187,0.025,1,0.025,0,0.025
1188,0.025,1,0.025,0,0.025
1189,0.025,1,0.025,0,0.025
119,0.144,3,0.048,0,0.144
1190,0.025,1,0.025,0,0.025
1191,0.025,1,0.025,0,0.025
1192,0.025,1,0.025,0,0.025
1193,0.025,1,0.025,0,0.025
1194,0.216,3,0.072,0,0.216
1195,0.216,3,0.072,0,0.216
1196,0.025,1,0.025,0,0.025
1197,0.216,3,0.072,0,0.216
1198,0.216,3,0.072,0,0.216
1199,0.0,1,0.0,0,0.0
12,0.195,3,0.065,0,0.195
120,0.372,3,0.124,0,0.372
1200,0.216,3,0.072,0,0.216
1201,0.216,3,0.072,0,0.216
1202,0.025,1,0.025,0,0.025
1203,0.025,1,0.025,0,0.025
1204,0.0,1,0.0,0,0.0
1205,0.625,26,0.024,3,0.1562
1206,0.025,1,0.025,0,0.025
1207,0.216,3,0.072,0,0.216
1208,0.216,3,0.072,0,0.216
1209,0.216,3,0.072,0,0.216
121,0.372,3,0.124,0,0.372
1210,0.216,3,0.072,0,0.216
1211,4.032,56,0.072,3,1.008
1212,0.216,3,0.072,0,0.216
1213,0.72,10,0.072,1,0.36
1214,0.216,3,0.072,0,0.216
1215,0.216,3,0.072,0,0.216
1216,0.216,3,0.072,0,0.216
1217,1.8,25,0.072,2,0.6
1218,0.216,3,0.072,0,0.216
1219,0.025,1,0.025,0,0.025
122,1.2,25,0.048,2,0.4
1220,0.025,1,0.025,0,0.025
1221,0.0,1,0.0,0,0.0
1222,0.025,1,0.025,0,0.025
1223,0.025,1,0.025,0,0.025
1224,0.0,1,0.0,0,0.0
1225,0.025,1,0.025,0,0.025
1226,0.72,10,0.072,1,0.36
1227,0.0,1,0.0,0,0.0
1228,0.025,1,0.025,0,0.025
1229,0.025,1,0.025,0,0.025
123,0.372,3,0.124,0,0.372
1230,0.025,1,0.025,0,0.025
1231,0.025,1,0.025,0,0.025
1232,0.075,3,0.025,0,0.075
1233,0.025,1,0.025,0,0.025
1234,0.025,1,0.025,0,0.025
1235,0.025,1,0.025,0,0.025
1236,0.0,1,0.0,0,0.0
1237,0.025,1,0.025,0,0.025
1238,0.025,1,0.025,0,0.025
1239,0.025,1,0.025,0,0.025
124,0.144,3,0.048,0,0.144
1240,0.025,1,0.025,0,0.025
1241,0.025,1,0.025,0,0.025
1242,0.025,1,0.025,0,0.025
1243,0.216,3,0.072,0,0.216
1244,0.025,1,0.025,0,0.025
1245,0.0,1,0.0,0,0.0
1246,0.025,1,0.025,0,0.025
1247,0.025,1,0.025,0,0.025
1248,0.025,1,0.025,0,0.025
1249,0.025,1,0.025,0,0.025
125,0.144,3,0.048,0,0.144
1250,0.025,1,0.025,0,0.025
1251,0.025,1,0.025,0,0.025
1252,0.025,1,0.025,0,0.025
1253,0.075,4,0.0187,1,0.0375
1254,0.025,1,0.025,0,0.025
1255,0.075,3,0.025,0,0.075
1256,0.025,1,0.025,0,0.025
1257,0.025,1,0.025,0,0.025
1258,0.025,1,0.025,0,0.025
1259,0.275,11,0.025,2,0.0917
126,0.144,3,0.048,0,0.144
1260,0.025,1,0.025,0,0.025
1261,0.025,1,0.025,0,0.025
1262,0.025,1,0.025,0,0.025
1263,0.025,1,0.025,0,0.025
1264,0.025,1,0.025,0,0.025
1265,0.025,1,0.025,0,0.025
1266,0.025,1,0.025,0,0.025
1267,0.025,1,0.025,0,0.025
1268,0.025,1,0.025,0,0.025
1269,0.025,1,0.025,0,0.025
127,0.144,3,0.048,0,0.144
1270,0.025,1,0.025,0,0.025
1271,0.025,1,0.025,0,0.025
1272,0.0,1,0.0,0,0.0
1273,0.025,1,0.025,0,0.025
1274,0.025,1,0.025,0,0.025
1275,0.025,1,0.025,0,0.025
1276,0.025,1,0.025,0,0.025
1277,0.025,1,0.025,0,0.025
1278,0.025,1,0.025,0,0.025
1279,0.025,1,0.025,0,0.025
128,0.144,3,0.048,0,0.144
1280,0.1,4,0.025,1,0.05
1281,0.025,1,0.025,0,0.025
1282,0.025,1,0.025,0,0.025
1283,0.025,1,0.025,0,0.025
1284,0.025,1,0.025,0,0.025
1285,0.025,1,0.025,0,0.025
1286,0.025,1,0.025,0,0.025
1287,0.025,1,0.025,0,0.025
1288,0.025,1,0.025,0,0.025
1289,0.025,1,0.025,0,0.025
129,0.222,3,0.074,0,0.222
1290,0.025,1,0.025,0,0.025
1291,0.025,1,0.025,0,0.025
1292,0.025,1,0.025,0,0.025
1293,0.025,1,0.025,0,0.025
1294,0.025,1,0.025,0,0.025
1295,0.025,1,0.025,0,0.025
1296,0.025,1,0.025,0,0.025
1297,0.025,1,0.025,0,0.025
1298,0.025,1,0.025,0,0.025
1299,0.025,1,0.025,0,0.025
13,0.65,10,0.065,1,0.325
130,0.144,3,0.048,0,0.144
1300,0.025,1,0.025,0,0.025
1301,0.025,1,0.025,0,0.025
1302,0.025,1,0.025,0,0.025
1303,0.025,1,0.025,0,0.025
1304,0.025,1,0.025,0,0.025
1305,0.025,1,0.025,0,0.025
1306,0.025,1,0.025,0,0.025
1307,0.025,1,0.025,0,0.025
1308,0.025,1,0.025,0,0.025
1309,0.025,1,0.025,0,0.025
131,0.372,3,0.124,0,0.372
1310,0.025,1,0.025,0,0.025
1311,0.025,1,0.025,0,0.025
1312,0.025,1,0.025,0,0.025
1313,0.025,1,0.025,0,0.025
1314,0.025,1,0.025,0,0.025
1315,0.025,1,0.025,0,0.025
1316,0.025,1,0.025,0,0.025
1317,0.075,4,0.0187,1,0.0375
1318,0.025,1,0.025,0,0.025
1319,0.025,1,0.025,0,0.025
132,1.056,25,0.0422,2,0.352
1320,0.025,1,0.025,0,0.025
1321,0.025,1,0.025,0,0.025
1322,0.775,31,0.025,0,0.775
1323,0.025,1,0.025,0,0.025
1324,0.025,1,0.025,0,0.025
1325,0.275,11,0.025,2,0.0917
1326,0.075,4,0.0187,1,0.0375
1327,0.025,1,0.025,0,0.025
1328,0.025,1,0.025,0,0.025
1329,0.025,1,0.025,0,0.025
133,0.144,3,0.048,0,0.144
1330,0.025,1,0.025,0,0.025
1331,0.025,1,0.025,0,0.025
1332,0.025,1,0.025,0,0.025
1333,0.025,1,0.025,0,0.025
1334,0.025,1,0.025,0,0.025
1335,0.025,1,0.025,0,0.025
1336,0.025,1,0.025,0,0.025
1337,0.025,1,0.025,0,0.025
1338,0.025,1,0.025,0,0.025
1339,0.025,1,0.025,0,0.025
134,0.144,3,0.048,0,0.144
1340,0.1,4,0.025,1,0.05
1341,0.025,1,0.025,0,0.025
1342,0.025,1,0.025,0,0.025
1343,0.275,11,0.025,2,0.0917
1344,0.025,1,0.025,0,0.025
1345,0.025,1,0.025,0,0.025
1346,0.0,1,0.0,0,0.0
1347,0.775,31,0.025,0,0.775
1348,0.025,1,0.025,0,0.025
1349,0.25,11,0.0227,2,0.0833
135,1.2,25,0.048,2,0.4
1350,0.025,1,0.025,0,0.025
1351,0.025,1,0.025,0,0.025
1352,0.025,1,0.025,0,0.025
1353,0.025,1,0.025,0,0.025
1354,0.025,1,0.025,0,0.025
1355,0.025,1,0.025,0,0.025
1356,0.025,1,0.025,0,0.025
1357,0.025,1,0.025,0,0.025
1358,0.0,1,0.0,0,0.0
1359,0.025,1,0.025,0,0.025
136,0.48,10,0.048,1,0.24
1360,0.025,1,0.025,0,0.025
1361,0.0,1,0.0,0,0.0
1362,0.025,1,0.025,0,0.025
1363,0.025,1,0.025,0,0.025
1364,0.025,1,0.025,0,0.025
1365,0.025,1,0.025,0,0.025
1366,0.025,1,0.025,0,0.025
1367,0.025,1,0.025,0,0.025
1368,0.025,1,0.025,0,0.025
1369,0.025,1,0.025,0,0.025
137,0.48,10,0.048,1,0.24
1370,0.075,4,0.0187,1,0.0375
1371,0.025,1,0.025,0,0.025
1372,0.025,1,0.025,0,0.025
1373,0.025,1,0.025,0,0.025
1374,0.025,1,0.025,0,0.025
1375,0.025,1,0.025,0,0.025
1376,0.0,1,0.0,0,0.0
1377,0.025,1,0.025,0,0.025
1378,0.025,1,0.025,0,0.025
1379,0.0,1,0.0,0,0.0
138,0.372,3,0.124,0,0.372
1380,0.025,1,0.025,0,0.025
1381,0.1,4,0.025,1,0.05
1382,0.175,11,0.0159,2,0.0583
1383,0.025,1,0.025,0,0.025
1384,0.025,1,0.025,0,0.025
1385,0.025,1,0.025,0,0.025
1386,0.1,4,0.025,1,0.05
1387,0.025,1,0.025,0,0.025
1388,0.025,1,0.025,0,0.025
1389,0.025,1,0.025,0,0.025
139,0.372,3,0.124,0,0.372
1390,0.025,1,0.025,0,0.025
1391,0.025,1,0.025,0,0.025
1392,0.025,1,0.025,0,0.025
1393,0.025,1,0.025,0,0.025
1394,0.025,1,0.025,0,0.025
1395,0.025,1,0.025,0,0.025
1396,0.025,1,0.025,0,0.025
1397,0.025,1,0.025,0,0.025
1398,0.025,1,0.025,0,0.025
1399,0.025,1,0.025,0,0.025
14,2.75,5,0.55,0,2.75
140,0.372,3,0.124,0,0.372
1400,0.025,1,0.025,0,0.025
1401,0.025,1,0.025,0,0.025
1402,0.025,1,0.025,0,0.025
1403,0.025,1,0.025,0,0.025
1404,0.025,1,0.025,0,0.025
1405,0.025,1,0.025,0,0.025
1406,0.025,1,0.025,0,0.025
1407,0.025,1,0.025,0,0.025
1408,0.025,1,0.025,0,0.025
1409,0.025,1,0.025,0,0.025
141,0.372,3,0.124,0,0.372
1410,0.075,3,0.025,0,0.075
1411,0.025,1,0.025,0,0.025
1412,0.075,3,0.025,0,0.075
1413,0.025,1,0.025,0,0.025
1414,0.025,1,0.025,0,0.025
1415,0.025,1,0.025,0,0.025
1416,0.025,1,0.025,0,0.025
1417,0.075,3,0.025,0,0.075
1418,0.025,1,0.025,0,0.025
1419,0.025,1,0.025,0,0.025
142,0.372,3,0.124,0,0.372
1420,0.025,1,0.025,0,0.025
1421,0.025,1,0.025,0,0.025
1422,0.075,3,0.025,0,0.075
1423,0.1,4,0.025,1,0.05
1424,0.025,1,0.025,0,0.025
1425,0.025,1,0.025,0,0.025
1426,0.025,1,0.025,0,0.025
1427,0.025,1,0.025,0,0.025
1428,0.025,1,0.025,0,0.025
1429,0.025,1,0.025,0,0.025
143,0.372,3,0.124,0,0.372
1430,0.025,1,0.025,0,0.025
1431,0.025,1,0.025,0,0.025
1432,0.025,1,0.025,0,0.025
1433,0.025,1,0.025,0,0.025
1434,0.025,1,0.025,0,0.025
1435,0.025,1,0.025,0,0.025
1436,0.025,1,0.025,0,0.025
1437,0.025,1,0.025,0,0.025
1438,0.025,1,0.025,0,0.025
1439,0.025,1,0.025,0,0.025
144,0.372,3,0.124,0,0.372
1440,0.025,1,0.025,0,0.025
1441,0.025,1,0.025,0,0.025
1442,0.025,1,0.025,0,0.025
1443,0.025,1,0.025,0,0.025
1444,0.025,1,0.025,0,0.025
1445,0.025,1,0.025,0,0.025
1446,0.025,1,0.025,0,0.025
1447,0.025,1,0.025,0,0.025
1448,0.025,1,0.025,0,0.025
1449,0.025,1,0.025,0,0.025
145,0.372,3,0.124,0,0.372
1450,0.025,1,0.025,0,0.025
1451,0.011,1,0.011,0,0.011
1452,0.011,1,0.011,0,0.011
1453,0.011,1,0.011,0,0.011
1454,0.0,10,0.0,0,0.0
1455,0.011,1,0.011,0,0.011
1456,0.011,1,0.011,0,0.011
1457,0.011,1,0.011,0,0.011
1458,0.011,1,0.011,0,0.011
1459,0.011,1,0.011,0,0.011
146,0.144,3,0.048,0,0.144
1460,0.011,1,0.011,0,0.011
1461,0.011,1,0.011,0,0.011
1462,0.044,4,0.011,1,0.022
1463,0.011,1,0.011,0,0.011
1464,0.044,4,0.011,1,0.022
1465,0.011,1,0.011,0,0.011
1466,0.011,1,0.011,0,0.011
1467,0.011,1,0.011,0,0.011
1468,0.011,1,0.011,0,0.011
1469,0.011,1,0.011,0,0.011
147,0.144,3,0.048,0,0.144
1470,0.011,1,0.011,0,0.011
1471,0.011,1,0.011,0,0.011
1472,0.011,1,0.011,0,0.011
1473,0.011,1,0.011,0,0.011
1474,0.011,1,0.011,0,0.011
1475,0.011,1,0.011,0,0.011
1476,0.011,1,0.011,0,0.011
1477,0.011,1,0.011,0,0.011
1478,0.011,1,0.011,0,0.011
1479,0.011,1,0.011,0,0.011
148,0.0,3,0.0,0,0.0
1480,0.011,1,0.011,0,0.011
1481,0.011,1,0.011,0,0.011
1482,0.044,4,0.011,1,0.022
1483,0.011,1,0.011,0,0.011
1484,0.011,1,0.011,0,0.011
1485,0.011,1,0.011,0,0.011
1486,0.011,1,0.011,0,0.011
1487,0.011,1,0.011,0,0.011
1488,0.011,1,0.011,0,0.011
1489,0.011,1,0.011,0,0.011
149,0.372,3,0.124,0,0.372
1490,0.044,4,0.011,1,0.022
1491,0.0,1,0.0,0,0.0
1492,0.011,1,0.011,0,0.011
1493,0.011,1,0.011,0,0.011
1494,0.011,1,0.011,0,0.011
1495,0.033,3,0.011,0,0.033
1496,0.011,1,0.011,0,0.011
1497,0.011,1,0.011,0,0.011
1498,0.011,1,0.011,0,0.011
1499,0.011,1,0.011,0,0.011
15,0.195,3,0.065,0,0.195
150,0.372,3,0.124,0,0.372
1500,0.011,1,0.011,0,0.011
1501,0.011,1,0.011,0,0.011
1502,0.011,1,0.011,0,0.011
1503,0.011,1,0.011,0,0.011
1504,0.044,4,0.011,1,0.022
1505,0.011,1,0.011,0,0.011
1506,0.0,1,0.0,0,0.0
1507,0.011,1,0.011,0,0.011
1508,0.011,1,0.011,0,0.011
1509,0.011,1,0.011,0,0.011
151,0.372,3,0.124,0,0.372
1510,0.011,1,0.011,0,0.011
1511,0.011,1,0.011,0,0.011
1512,0.011,1,0.011,0,0.011
1513,0.011,1,0.011,0,0.011
1514,0.011,1,0.011,0,0.011
1515,0.011,1,0.011,0,0.011
1516,0.0,1,0.0,0,0.0
1517,0.011,1,0.011,0,0.011
1518,0.011,1,0.011,0,0.011
1519,0.011,1,0.011,0,0.011
152,0.144,3,0.048,0,0.144
1520,0.011,1,0.011,0,0.011
1521,0.011,1,0.011,0,0.011
1522,0.011,1,0.011,0,0.011
1523,0.033,3,0.011,0,0.033
1524,0.0,1,0.0,0,0.0
1525,0.011,1,0.011,0,0.011
1526,0.011,1,0.011,0,0.011
1527,0.011,1,0.011,0,0.011
1528,0.011,1,0.011,0,0.011
1529,0.0,1,0.0,0,0.0
153,0.144,3,0.048,0,0.144
1530,0.033,3,0.011,0,0.033
1531,0.011,1,0.011,0,0.011
1532,0.011,1,0.011,0,0.011
1533,0.011,1,0.011,0,0.011
1534,0.011,1,0.011,0,0.011
1535,0.011,1,0.011,0,0.011
1536,0.0,1,0.0,0,0.0
1537,0.033,4,0.0083,1,0.0165
1538,0.033,3,0.011,0,0.033
1539,0.033,4,0.0083,1,0.0165
154,0.144,3,0.048,0,0.144
1540,0.0,1,0.0,0,0.0
1541,0.011,1,0.011,0,0.011
1542,0.033,4,0.0083,1,0.0165
1543,0.011,1,0.011,0,0.011
1544,0.011,1,0.011,0,0.011
1545,0.011,1,0.011,0,0.011
1546,0.011,1,0.011,0,0.011
1547,0.011,1,0.011,0,0.011
1548,0.033,3,0.011,0,0.033
1549,0.237,3,0.079,0,0.237
155,0.01,1,0.01,0,0.01
1550,0.011,1,0.011,0,0.011
1551,0.011,1,0.011,0,0.011
