asserter,assertionId,assertionTimestamp,bond,currency,disputeHash,disputeTimestamp,disputer,expirationTime,id,settlementResolution,settlementTimestamp,currencySymbol,bondUSD,wasDisputed,isSettled,timeToDispute,timeToSettlement,asserterWon,disputerWon
0xb8034521bb1a343d556e5005680b3f17ffc74bed,0x078c83fe2a4543b8b28ab61d77f053e400e0f1b915de29024d8ee6e60f88a4b2,2025-04-22 18:31:23,2e+18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,,2025-04-23 18:31:23,0x078c83fe2a4543b8b28ab61d77f053e400e0f1b915de29024d8ee6e60f88a4b2,True,2025-04-23 18:32:47,WETH,3689.3986,False,True,,86484.0,True,False
0x33965f7d08f61a62b86c1ab9be5d82c42f4c3081,0x477de759cdd5a66d703d3153e472fb8ee3dac386bb2ea9623f40f121c969b339,2025-04-22 03:57:35,2e+18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,,2025-04-24 03:57:35,0x477de759cdd5a66d703d3153e472fb8ee3dac386bb2ea9623f40f121c969b339,True,2025-04-24 04:02:23,WETH,3689.3986,False,True,,173088.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x3811759f8e6a7636c8b779990aa6735a65fc3c9752269b673a279eae06d1b781,2025-04-21 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-22 22:37:23,0x3811759f8e6a7636c8b779990aa6735a65fc3c9752269b673a279eae06d1b781,True,2025-04-22 22:37:35,USDC,599.94,False,True,,86412.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x7ccc1c2df0d3a7085cf30bda2582034a033ef07f7d993346d6afd30908b2cc01,2025-04-20 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-21 22:37:23,0x7ccc1c2df0d3a7085cf30bda2582034a033ef07f7d993346d6afd30908b2cc01,True,2025-04-21 22:42:23,USDC,599.94,False,True,,86700.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x3ee06c49ebe44f91fa8e3ff06535d0019665f6f8bd4e9729b91a4413386ebb64,2025-04-19 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-20 22:37:23,0x3ee06c49ebe44f91fa8e3ff06535d0019665f6f8bd4e9729b91a4413386ebb64,True,2025-04-20 22:42:35,USDC,599.94,False,True,,86712.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0xc2edc0a241cc3b39da94f89819a574474662b4a92cdfb2ea0b9d5abf05d79e44,2025-04-18 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-19 22:37:23,0xc2edc0a241cc3b39da94f89819a574474662b4a92cdfb2ea0b9d5abf05d79e44,True,2025-04-19 22:42:23,USDC,599.94,False,True,,86700.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0xa2e3e2a0d3bf2e9b5e5488bf6beeff23817de0a6f5ceb283751d5d58d1f852aa,2025-04-17 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-18 22:37:23,0xa2e3e2a0d3bf2e9b5e5488bf6beeff23817de0a6f5ceb283751d5d58d1f852aa,True,2025-04-18 22:42:23,USDC,599.94,False,True,,86700.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x3609014bc4b3f71a9742b2fa6b3d56b73e6550fd92da844b2e0a5d6010a91af5,2025-04-16 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-17 22:37:23,0x3609014bc4b3f71a9742b2fa6b3d56b73e6550fd92da844b2e0a5d6010a91af5,True,2025-04-17 22:37:35,USDC,599.94,False,True,,86412.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0xb2875b057386b5b98475b4d160da09d7f84d131f53422cc1f0f841c82d26c657,2025-04-15 22:37:47,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-16 22:37:47,0xb2875b057386b5b98475b4d160da09d7f84d131f53422cc1f0f841c82d26c657,True,2025-04-16 22:42:23,USDC,599.94,False,True,,86676.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0xefba6572317daa2e10695adcf862d885ff5283201945298eb124d354a39c9efe,2025-04-14 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-15 22:37:23,0xefba6572317daa2e10695adcf862d885ff5283201945298eb124d354a39c9efe,True,2025-04-15 22:37:35,USDC,599.94,False,True,,86412.0,True,False
