juror,total_votes,votes_cast,votes_missed,vote_0,vote_1,vote_2,participation_rate
0x001FE2CdBEeB0743679E958C0861Dd8788B28b19,18,14,4,0,0,0,0.7777777777777778
0x0032dd3EcfF7B672A8E2C28FCAb1Aa1cC50F81f1,7,5,2,0,0,0,0.7142857142857143
0x0053546e2034c25805eba84055cc6CFF7FaD1307,1,0,1,0,0,0,0.0
0x0065A0dE2b430c502F75bFF3716Fe5a222Cd4E3b,1,1,0,0,0,0,1.0
0x00B5ADe4ac1fE9cCc08Addc2C10070642335117F,92,84,8,0,0,0,0.9130434782608695
0x010afb8548a5D1a3a3D62f58CA0a5A1329974206,92,91,1,0,0,0,0.9891304347826086
0x01C623b3d66B8D28D2B6d1Fc41E3c2835f1acD86,1,0,1,0,0,0,0.0
0x029287eDe1164d2cB38Cc041cF6C3a5fb9eBb7cf,2,1,1,0,0,0,0.5
0x037cDD64F9b2E00fc6B7a1aA3E6152AFF8718540,1,0,1,0,0,0,0.0
0x0386283D182A33f2Ee375090ed591440160Ff158,1,0,1,0,0,0,0.0
0x040636FaD0540596A0CEe6de64185D6d25FBFF00,6,5,1,0,0,0,0.8333333333333334
0x04B2730E2d4815F9023d402ab4fD7EeEDD5Cd423,1,0,1,0,0,0,0.0
0x05189bdAE2681091C70D9Cf7cD201a4b8878031f,1,0,1,0,0,0,0.0
0x05A15B985aF30d664F731f1cF2bEE9C9Dc0A1D0f,3,3,0,0,0,0,1.0
0x05C990bDD5798243377470085aa274906e70C466,2,2,0,0,0,0,1.0
0x06F166E11d765aE936E7ec36777E1b4B6f0Cb83B,2,0,2,0,0,0,0.0
0x06F65D5e97b796E47263110F305d005b2733CD1a,18,14,4,0,0,0,0.7777777777777778
0x0855f08E143E1db081cC3c571F40787dcFb69b9d,9,9,0,0,0,0,1.0
0x08EF7dd64c2839c17db78203248E585A5366d01e,2,2,0,0,0,0,1.0
0x0A24659FdB1E2c12b9cf71d294f03F9D27f1591f,20,19,1,0,0,0,0.95
0x0A388F92F1526Fa3d4CC317D8Fe8004b03B9DCd7,1,1,0,0,0,0,1.0
0x0AE72609b7b6269bb1a289761120d490150B04a3,2,2,0,0,0,0,1.0
0x0B072F12B7C0cc5F115c795cDd8962aeCC215C15,2,2,0,0,0,0,1.0
0x0B757D70e6911fD5c3E7e8157da0069ce7657f34,14,13,1,0,0,0,0.9285714285714286
0x0BBF9f25c863FdF19E645C96280004d24f43Cb38,1,1,0,0,0,0,1.0
0x0C434B29b5D31d5E660B22FAAef885c740a9E581,10,6,4,0,0,0,0.6
0x0D256C49E5DF2B9bAE2A04b6C2622AC459396dc2,4,4,0,0,0,0,1.0
0x0Da8b71D69aA0692a0a7F8fD345575E9A5AAB282,1,1,0,0,0,0,1.0
0x0Dcf343179A4Ca87b03AeaCd31c50408c0AB0DcC,1,1,0,0,0,0,1.0
0x0De8947c2ABd59C201e5EcE142bFCd22253BFC0d,1,1,0,0,0,0,1.0
0x0E124fB703BAe79cbC11a6CfDA5c40A766D20394,3,0,3,0,0,0,0.0
0x0F37785a3Fa5a39759Eb8E72da6c3e031fCF93DE,1,1,0,0,0,0,1.0
0x0F60f7C61664B17203CBDeb3D87444d4Ce02cAED,14,14,0,0,0,0,1.0
0x0FA960785B6B5979c7B0A0ED2ffC96329C6F09A9,1,0,1,0,0,0,0.0
0x0FBF3fdeC47CfC99C344b2A63F076fafCC840850,1,1,0,0,0,0,1.0
0x0Fe7781720a5f20CB6968505A1b24092702A1553,1,0,1,0,0,0,0.0
0x0c4B65bEAdb705b927Ab68a1B00055f74579F997,2,1,1,0,0,0,0.5
0x0d0C51021A80C4002c14593d5c2fCCF22D2eb475,9,9,0,0,0,0,1.0
0x0d6857A22e9F78F6D935bAe24A763dbbdC128144,1,1,0,0,0,0,1.0
0x105078bf14fa92AB24f983df63b8e57414b933cF,2,1,1,0,0,0,0.5
0x10707F6060E7B3565A784628633DCe54AF9f0D01,10,10,0,0,0,0,1.0
0x10Ae0e6A818a268F359F7c3e04c32425F0dc1D10,1,1,0,0,0,0,1.0
0x10beFF1B93cB379C2D4C1848E7cAdf7df5b7d19a,2,1,1,0,0,0,0.5
0x11B1785D9Ac81480c03210e89F1508c8c115888E,14,11,3,0,0,0,0.7857142857142857
0x11Cf1a92bd127336b33C2ed86FE13A9ee628733f,3,3,0,0,0,0,1.0
0x129d7B969e56339bB417B58A4f8CAaEC8f438aCE,2,2,0,0,0,0,1.0
0x12FA14C9F49CeE96c4F6ba8c7497F7Ef825cAe37,51,49,2,0,0,0,0.9607843137254902
0x12a59989f8F06130bdA8D6E936B2045C734F19aC,1,0,1,0,0,0,0.0
0x131975CA3E75259e60AFeb1cd34051A6804dA505,2,2,0,0,0,0,1.0
0x131a9A36Ea25aFB4Ed1a4510eE4B36E369d0F699,4,0,4,0,0,0,0.0
0x133D93566f9699B3Af46fE150daA8a67a9563ED6,5,5,0,0,0,0,1.0
0x13674fF44C631dc134De6B6a15Fa3fA7A354d773,1,1,0,0,0,0,1.0
0x139Ac796dA6BD4C889bfc88F0BB4d34a852604B5,1,1,0,0,0,0,1.0
0x1545981eb44Bbd109Fc3D73269B22D796460Ca85,1,0,1,0,0,0,0.0
0x158001D8789a0Cd6eB68cE9F0a97C651fC0B9601,4,3,1,0,0,0,0.75
0x162076Db70bdEda23994Bd1FD5fb4E916c6a88e9,22,21,1,0,0,0,0.9545454545454546
0x17281fA31CfB66EDBCA00577a22bCf1570c9f8bd,1,1,0,0,0,0,1.0
0x17a85F0430705Bd4D8734E99CEB6d0D5A1B21e82,1,0,1,0,0,0,0.0
0x17ca1a1e468b3458Fac04DEa3Ceca672424eE85F,1,0,1,0,0,0,0.0
0x185DBDd3b0c16b8C0ee9c3055B6517AD4650E04f,1,1,0,0,0,0,1.0
0x188C30E9A6527F5F0c3f7fe59B72ac7253C62F28,10,9,1,0,0,0,0.9
0x1891E9b1dc9dfCc0fd514DfBD3652e80B7812A89,1,0,1,0,0,0,0.0
0x18e14280695AFDd3655B7999D63Cf51F56052e35,1,0,1,0,0,0,0.0
0x197A78Fe1bD3BBb64c1325c027bdE8F67Bac1770,1,0,1,0,0,0,0.0
0x19BA26834B8263ba087443e1bdF903b2e228E35b,2,2,0,0,0,0,1.0
0x1A7D20F8bd74EeD5ba703dA4Fae5bdf1bA69c2Ab,63,49,14,0,0,0,0.7777777777777778
0x1D2F8a45fF6244f43079d116fe70c304B1D51D3f,1,1,0,0,0,0,1.0
0x1D899a06Fb04b276aeDd87EE3A9d937292884F4a,17,15,2,0,0,0,0.8823529411764706
0x1D9a3491E28c2E688d9C3C846391eeF345d68C6c,64,62,2,0,0,0,0.96875
0x1E0833f26b038ff022EcA9eBAeD90e83c606E41e,4,0,4,0,0,0,0.0
0x1E46d1a18A3eF9492090782F97345b46318AfF69,5,4,1,0,0,0,0.8
0x1F06339Dd63F78711532164de493AE05e2b8B4b8,3,3,0,0,0,0,1.0
0x1FcB32c860b9F4c0DF99d1fd54E7CE958E9e93cC,42,42,0,0,0,0,1.0
0x1Fdc80eFdA62Ef62CDC41395Da6227499166e349,1,0,1,0,0,0,0.0
0x1bc9e52bAa93Dab1a47c3168f6d82ED08856Ec83,11,11,0,0,0,0,1.0
0x204004ec231bC8f989dA8C643F536DC653f7E5c2,12,12,0,0,0,0,1.0
0x20862Da5CbDb46Aed6409F8987ffB828Aa981db8,11,9,2,0,0,0,0.8181818181818182
0x208d058c63f973e6753f1bde554F8E431f1A11Eb,4,4,0,0,0,0,1.0
0x20DE5f735469F03714cD1b1e30be30931F9E5E5d,1,0,1,0,0,0,0.0
0x21358465c27557b6F2F56d88346E921D40Ce3b37,1,1,0,0,0,0,1.0
0x21478A81Be650Ca1C03e04Fe615bfE6d5478fC5E,6,2,4,0,0,0,0.3333333333333333
0x215AE5E25647DADa54573c3de6924d8dC9F77ca6,6,6,0,0,0,0,1.0
0x215C050A6a9f8105c48BBDd0df6524799188cFF4,13,13,0,0,0,0,1.0
0x21E76a0Fe833ec5bFefbfAf9Ddb9c23439818a8c,4,3,1,0,0,0,0.75
0x21aF5166e41Dc3371D062131af9D6A25e0F5c7d1,1,0,1,0,0,0,0.0
0x21d05071cA08593e13cd3aFD0b4869537e015C92,2,2,0,0,0,0,1.0
0x22Acb809d08aE7c79F0b84513EfCE0577acFE514,2,0,2,0,0,0,0.0
0x22cA86624cF039d5DD769E5087D6c4D47269A544,9,4,5,0,0,0,0.4444444444444444
0x230c40fF3dD28910a959FE135342ce9E8250ED12,4,4,0,0,0,0,1.0
0x23652aB0B373ea18dC62bCa25673a874Fd2585D6,2,2,0,0,0,0,1.0
0x23EEBb090C430783Bf0665478ea6d5793B44a3c3,4,4,0,0,0,0,1.0
0x23f283a4E2DbCeB8286799eAc13d83ee928D9B44,1,1,0,0,0,0,1.0
0x24D0Db7E182fCD29DdeA14C04BCb182c89CBB0C0,32,32,0,0,0,0,1.0
0x24D55b7da98A675BCe37bC89909b5F73A568a1d5,2,2,0,0,0,0,1.0
0x2537E26521a15775510157fedC250B986D57685e,1,0,1,0,0,0,0.0
0x2598ddBEeCD659D56F1918a5973C927B129b13eC,37,35,2,0,0,0,0.9459459459459459
0x25EC0F42F9F73E3c8563300Fe75A5C4b8160B5e7,2,2,0,0,0,0,1.0
0x26406BD6C6B86EB5589107c9951ff4708Dbd0fFE,1,0,1,0,0,0,0.0
0x2666A31145239e45478afF1244E707832cE79cE9,4,2,2,0,0,0,0.5
0x26e9657F97C7f158c588C892Cba2700eaC60dFDc,4,4,0,0,0,0,1.0
0x26f580E930D7982f82138621F074A01a75adc920,1,0,1,0,0,0,0.0
0x271F379b4FA3D1f362Ad86Eb1Ee7108060a7fc09,6,5,1,0,0,0,0.8333333333333334
0x27283140E9Eb6a98Bd1bAbE7e0cDa82eC6374088,4,1,3,0,0,0,0.25
0x272F858760f8b2267525237Adee108EAC25f1C9e,2,2,0,0,0,0,1.0
0x276a05a2eD4637CBd1fd4994f6bD0539e4E7031D,15,14,1,0,0,0,0.9333333333333333
0x279ba53A1aD77793544eaf2AC7398a7BD7361aAA,3,2,1,0,0,0,0.6666666666666666
0x27fE00A5a1212e9294b641BA860a383783016C67,73,69,4,0,0,0,0.9452054794520548
0x29df91960f940c6224346aD9268854a4376a6578,11,11,0,0,0,0,1.0
0x2A1049062c6Cfd69bd38fbaf3b0559DF1DBbc92c,2,2,0,0,0,0,1.0
0x2A8cad219b99Ca877fD8816abBC86F989070Cd7f,1,0,1,0,0,0,0.0
0x2B3ED1D32590dce372CE57f186c2c9EEF283685d,1,1,0,0,0,0,1.0
0x2C1BDEde8786a33Ffd35b7AD889CB4085F8c2a1C,1,0,1,0,0,0,0.0
0x2C26AA15Bd6df2ea32d08a0E0D92ab3E32980d40,14,13,1,0,0,0,0.9285714285714286
0x2D4f248fF1E4EedFaC4aa636A1e7271E44aeE5c1,1,0,1,0,0,0,0.0
0x2E2Ea30Ba045Df4bC38e80cF11E119E12e06C1C2,3,3,0,0,0,0,1.0
0x2E66504963b7C948E77B17A803419F67e72d1290,4,4,0,0,0,0,1.0
0x2E79334aAc0D9E28a45f21c66E13C66d1E4549d7,1,0,1,0,0,0,0.0
0x2a15D5F624659284dCAd57b3aa47A0360957e369,1,0,1,0,0,0,0.0
0x2a47fb90Bd1AC3c6056D2C05C5c59A5F042310aA,12,12,0,0,0,0,1.0
0x2a7b76feF91A276b6CCcD9364ed483ae5e312f50,2,1,1,0,0,0,0.5
